Semester,CGPA,Attendance,Internal_Marks,Assignment_Score,Quiz_Score,Study_Hours,Backlogs,Skill_Level,Performance,Risk_Level
7,5.97,55.8,83.8,72.1,36.6,3.4,4,2,63.37,Medium
4,6.43,97.0,66.5,52.9,93.7,5.6,0,3,94.49,Low
5,8.76,81.4,46.5,40.7,76.8,2.4,4,3,85.12,Low
7,6.08,66.7,46.9,54.5,88.1,3.1,4,3,66.06,Medium
3,5.35,57.0,77.7,98.6,91.5,7.4,4,1,72.66,Low
8,7.28,89.7,63.7,88.1,70.0,2.7,1,1,81.27,Low
5,9.18,81.0,51.0,97.6,66.2,4.0,0,2,100.0,Low
5,7.98,76.7,67.0,69.3,60.1,7.2,4,5,96.05,Low
7,7.35,94.7,43.5,46.6,52.2,5.8,4,5,75.18,Low
2,4.99,89.4,72.0,72.9,60.4,1.0,1,5,72.07,Low
3,7.58,57.6,54.8,67.3,84.2,1.6,0,2,89.61,Low
7,9.45,65.6,83.9,90.7,72.1,0.6,2,5,97.71,Low
3,5.2,62.4,57.1,45.9,92.5,5.2,1,5,75.4,Low
3,7.09,87.2,65.0,69.3,61.0,3.9,0,3,92.79,Low
8,8.89,51.7,40.6,49.0,72.5,1.5,4,1,76.93,Low
5,8.2,78.5,44.0,59.5,74.2,7.7,0,1,100.0,Low
4,7.99,88.1,61.6,84.2,71.4,4.5,0,3,94.28,Low
8,8.01,93.8,66.4,68.6,79.2,2.3,0,3,99.82,Low
8,6.3,67.1,73.0,62.6,46.6,4.3,2,3,75.61,Low
3,5.97,91.1,56.0,63.7,65.9,5.6,0,1,83.98,Low
6,8.55,55.5,78.2,67.6,37.3,1.1,2,5,89.59,Low
5,8.55,92.3,87.3,87.1,56.9,2.6,4,3,89.28,Low
2,8.84,56.4,82.9,93.5,64.1,6.6,2,2,100.0,Low
8,9.07,69.9,42.2,97.3,75.7,3.9,4,3,85.39,Low
4,7.06,89.9,66.4,87.2,96.5,4.6,4,4,87.45,Low
6,7.01,57.5,45.8,58.9,72.0,3.7,2,3,78.22,Low
6,8.49,61.5,53.3,81.3,82.1,0.8,1,1,91.03,Low
2,7.75,86.1,94.3,66.3,65.4,1.7,3,3,89.9,Low
8,8.01,86.0,47.8,55.3,74.4,3.8,0,4,95.61,Low
4,8.48,82.1,67.4,90.5,35.0,2.1,3,2,86.82,Low
5,8.95,84.7,74.0,42.3,47.8,0.9,0,5,94.94,Low
1,6.19,77.1,78.6,94.1,55.3,6.8,0,3,88.83,Low
4,6.38,62.6,70.8,67.7,63.1,7.9,4,4,82.03,Low
2,4.97,67.3,40.5,78.2,33.2,6.4,0,4,76.64,Low
6,7.39,59.1,58.0,79.6,39.8,6.9,0,2,89.92,Low
5,4.68,95.4,68.5,93.7,49.4,2.3,2,1,65.47,Medium
4,6.83,79.2,44.8,78.2,98.0,7.7,3,3,82.91,Low
1,7.21,70.0,59.3,76.8,53.2,2.0,2,4,83.88,Low
1,5.93,73.1,41.8,44.0,63.7,7.6,0,2,81.26,Low
3,7.45,97.4,44.3,71.1,43.7,8.0,4,5,90.84,Low
3,4.65,57.7,61.8,49.0,72.8,5.8,2,4,63.84,Medium
7,4.69,79.3,47.3,84.2,49.6,7.9,2,2,67.95,Medium
2,8.61,75.3,71.2,70.7,44.5,4.8,1,1,95.89,Low
8,6.3,80.6,77.9,80.8,66.2,2.4,0,1,85.08,Low
4,5.14,50.9,84.0,42.5,30.4,3.8,4,4,58.01,Medium
4,7.11,93.6,51.0,45.1,30.5,5.0,2,4,77.22,Low
8,8.35,96.6,49.2,83.0,45.3,1.0,2,3,89.46,Low
7,5.58,78.3,45.8,44.3,32.6,5.2,4,2,61.41,Medium
6,7.61,84.8,75.0,44.3,37.6,7.9,0,4,94.29,Low
6,4.93,96.1,78.9,40.7,53.7,1.9,1,3,72.31,Low
7,4.76,85.4,41.7,97.4,86.2,6.4,2,3,76.59,Low
6,7.16,57.6,91.5,84.3,70.0,7.3,1,4,97.39,Low
3,7.2,78.8,42.9,61.2,65.9,7.6,3,1,81.06,Low
4,7.69,80.3,69.8,57.8,50.5,7.7,0,2,98.37,Low
7,8.13,71.2,79.0,61.0,95.2,4.4,3,2,88.51,Low
4,9.38,86.8,87.9,86.5,57.8,7.8,3,1,100.0,Low
8,7.08,96.7,79.3,79.7,36.1,6.2,3,4,80.55,Low
1,6.11,96.3,84.1,51.1,73.2,1.7,0,2,84.62,Low
3,8.48,72.5,58.7,50.4,38.0,4.1,0,4,89.72,Low
5,5.85,55.7,84.8,45.9,54.2,5.9,4,4,74.61,Low
3,6.69,99.2,44.4,79.6,65.5,2.4,1,3,80.53,Low
7,4.89,91.9,89.2,85.9,91.2,5.3,1,1,79.82,Low
5,4.63,56.2,70.1,55.9,64.5,5.5,4,4,58.95,Medium
1,9.31,96.0,85.0,41.3,79.2,1.7,4,5,94.26,Low
7,8.68,93.5,64.9,44.9,99.5,4.7,3,1,97.59,Low
2,7.98,75.9,75.4,98.1,39.2,6.3,4,2,80.48,Low
4,6.54,79.6,69.0,57.7,49.2,4.2,2,3,81.91,Low
1,5.37,70.0,80.2,86.2,57.6,0.6,1,2,71.91,Low
4,5.28,52.7,44.5,77.5,59.5,0.6,4,2,49.88,High
6,5.75,66.8,43.3,62.9,58.8,3.2,2,1,62.17,Medium
2,7.25,90.1,53.6,52.3,93.5,7.4,2,2,94.51,Low
2,8.07,50.2,48.8,47.3,80.0,2.2,2,4,80.02,Low
1,7.8,66.7,87.9,76.9,72.6,5.3,2,2,89.89,Low
2,5.9,69.9,52.1,86.5,51.7,2.2,3,3,70.64,Low
5,9.27,76.9,93.7,78.6,87.7,2.9,2,3,100.0,Low
2,8.19,96.0,58.5,71.8,96.9,6.9,3,5,96.11,Low
4,7.27,67.3,50.0,42.5,87.5,6.0,3,3,81.77,Low
4,7.56,67.3,83.4,98.1,30.1,1.2,2,2,79.7,Low
7,6.6,86.9,76.2,87.9,74.5,3.7,1,3,91.41,Low
4,5.74,72.6,67.4,57.6,33.6,0.7,2,1,65.9,Medium
7,6.28,61.2,70.5,98.8,48.0,4.1,2,3,80.08,Low
4,8.29,72.6,79.6,76.1,34.2,5.5,2,4,95.59,Low
5,4.57,57.0,52.6,74.9,72.3,1.4,1,1,65.68,Medium
8,5.08,58.8,94.8,84.9,78.1,2.7,0,5,81.01,Low
7,4.73,74.9,93.6,88.7,38.0,3.5,0,4,73.01,Low
3,4.7,70.9,75.8,79.4,56.9,7.4,3,2,70.44,Low
6,8.78,95.7,51.0,47.7,61.9,7.9,3,2,100.0,Low
1,8.02,68.1,77.4,60.3,55.8,0.8,1,2,83.33,Low
4,6.87,79.0,44.0,95.7,38.5,6.2,4,4,76.23,Low
2,4.99,81.6,41.7,53.5,59.3,3.3,0,4,70.82,Low
8,6.96,50.7,54.2,62.3,82.6,3.4,3,4,76.35,Low
4,6.87,83.2,65.4,65.9,35.0,6.2,0,1,83.66,Low
2,5.37,58.9,87.8,66.4,35.6,7.4,1,1,79.32,Low
6,6.67,98.1,80.0,76.8,54.8,7.6,1,2,99.02,Low
6,6.49,57.4,80.8,96.6,95.9,4.8,4,3,81.33,Low
6,7.58,70.7,63.4,54.4,76.8,3.2,4,2,74.85,Low
2,7.68,54.3,59.0,47.3,77.5,6.4,1,5,87.47,Low
4,4.73,99.8,60.4,51.8,55.3,2.4,3,1,59.23,Medium
6,6.37,75.1,94.3,93.2,71.6,4.7,0,4,97.09,Low
5,7.63,79.8,42.2,78.7,30.7,3.2,2,1,79.89,Low
7,7.02,53.4,87.7,57.2,74.5,5.4,4,4,80.9,Low
2,8.78,87.5,71.8,89.0,93.9,2.3,2,5,99.95,Low
2,7.79,60.5,64.1,91.7,72.9,1.9,3,5,82.23,Low
4,5.31,94.9,79.9,90.8,91.2,7.4,4,1,79.45,Low
2,4.85,60.3,66.8,95.1,80.7,1.3,2,4,70.27,Low
2,7.71,59.5,88.0,55.1,38.4,4.3,3,5,80.28,Low
6,4.63,51.8,89.5,85.3,93.2,2.2,0,2,78.93,Low
4,7.43,73.6,63.2,67.6,34.7,0.8,3,2,75.0,Low
6,9.2,78.2,55.2,90.5,67.4,0.8,4,4,93.69,Low
7,7.38,53.3,72.6,83.7,39.9,1.8,1,1,76.91,Low
8,6.44,88.8,90.2,86.6,30.8,7.0,0,5,90.63,Low
7,7.72,72.7,51.6,79.4,59.5,2.6,2,1,81.39,Low
